,Unnamed: 0,Country,Year,AvgTemperature,suicides/100k pop
0,0,Albania,1997,22.18599033816425,77.43
1,1,Albania,1998,16.451388888888893,66.52
2,2,Albania,1999,17.287200628190018,69.81
3,3,Albania,2000,17.3205251360871,30.699999999999996
4,4,Albania,2001,16.242000000000004,50.61999999999999
5,5,Albania,2002,17.38959212376933,62.510000000000005
6,6,Albania,2003,17.58602646968298,58.60000000000001
7,7,Albania,2004,16.402130898021305,65.39
8,8,Albania,2005,16.006274869911223,0.0
9,9,Albania,2006,15.486034376918347,0.0
10,10,Albania,2007,16.29410866910867,65.85
11,11,Albania,2008,15.923992673992677,71.05000000000001
12,12,Albania,2009,16.197907048322552,0.0
13,13,Albania,2010,15.871537290715379,41.66
14,50,Argentina,1995,16.500761035007606,119.97
15,51,Argentina,1996,17.061171827565268,118.03
16,52,Argentina,1997,17.302130898021307,111.39999999999998
17,53,Argentina,1998,16.533950617283946,116.92999999999998
18,54,Argentina,1999,16.575396825396815,117.19
19,55,Argentina,2000,16.886757990867576,131.39
20,56,Argentina,2001,17.41101953601952,143.55999999999997
21,57,Argentina,2002,17.225925925925935,139.42
22,58,Argentina,2003,16.62457912457913,146.29
23,59,Argentina,2004,17.014420157862773,131.05999999999997
24,60,Argentina,2005,16.839726027397248,128.18
25,61,Argentina,2006,17.048858447488573,128.21999999999997
26,62,Argentina,2007,16.289682539682538,118.35000000000004
27,63,Argentina,2008,17.41987179487179,118.10999999999999
28,64,Argentina,2009,17.230463980463973,107.32000000000001
29,65,Argentina,2010,17.225722983257228,111.24000000000001
30,66,Argentina,2011,17.35296803652969,105.86999999999998
31,67,Argentina,2012,17.625075895567704,119.81999999999998
32,68,Argentina,2013,17.155859969558602,103.42
33,76,Australia,1995,16.389863013698662,155.19
34,77,Australia,1996,16.253221492827596,175.33999999999997
35,78,Australia,1997,16.750989345509872,186.93000000000006
36,79,Australia,1998,16.778247734138976,176.41000000000003
37,80,Australia,1999,16.92909035409036,167.14999999999998
38,81,Australia,2000,16.80567698846386,157.82000000000005
39,82,Australia,2001,16.793925518925533,158.79000000000002
40,83,Australia,2002,17.05018518518517,144.68
41,84,Australia,2003,16.879267022124186,133.84
42,85,Australia,2004,16.954705525197316,133.76000000000002
43,87,Australia,2006,17.041613394216153,127.89000000000001
44,88,Australia,2007,17.369169719169722,130.25
45,89,Australia,2008,16.742646609184874,130.48999999999998
46,90,Australia,2009,17.446428571428584,130.12
47,91,Australia,2010,17.063531202435357,132.64000000000001
48,92,Australia,2011,16.966027397260248,133.21999999999997
49,93,Australia,2012,16.808712811171826,139.57
50,94,Australia,2013,17.434809123063776,138.78
51,102,Austria,1995,10.139573820395738,348.0899999999999
52,103,Austria,1996,8.709319975713429,342.65
53,104,Austria,1997,9.82374429223744,297.5000000000001
54,105,Austria,1998,10.743305632502306,289.38
55,106,Austria,1999,10.53067765567766,280.3
56,107,Austria,2000,11.533090467516699,289.77
57,108,Austria,2001,10.457229832572304,261.90999999999997
58,109,Austria,2002,11.038319482917828,276.92
59,110,Austria,2003,10.830593607305932,257.06
60,111,Austria,2004,10.335003035822703,254.04
61,112,Austria,2005,10.167884322678844,235.24999999999997
62,113,Austria,2006,10.686301369863019,218.89999999999995
63,114,Austria,2007,11.671703296703301,217.31
64,115,Austria,2008,11.439573820395738,216.45000000000002
65,116,Austria,2009,10.985500610500603,213.22
66,117,Austria,2010,9.583713850837134,207.55000000000004
67,118,Austria,2011,10.710806697108072,211.49
68,119,Austria,2012,11.061930783242257,206.63
69,120,Austria,2013,10.792389649923903,212.12
70,128,Bahamas,1995,25.061660561660556,7.16
71,129,Bahamas,1996,24.45992714025501,9.82
72,130,Bahamas,1997,25.131619222528318,7.15
73,131,Bahamas,1998,25.60103871576959,11.09
74,132,Bahamas,1999,25.367592592592587,22.959999999999997
75,133,Bahamas,2000,25.210622710622683,40.660000000000004
76,134,Bahamas,2001,25.259920634920626,2.68
77,135,Bahamas,2002,26.090740740740728,9.969999999999999
78,136,Bahamas,2003,26.48168498168497,2.49
79,137,Bahamas,2004,25.702737520128842,5.93
80,138,Bahamas,2005,26.13258636788048,13.32
81,139,Bahamas,2006,25.985339506172853,5.640000000000001
82,140,Bahamas,2007,26.59083652618136,13.420000000000002
83,141,Bahamas,2008,26.406029996939093,12.490000000000002
84,142,Bahamas,2009,26.31791819291817,15.98
85,143,Bahamas,2010,25.69558599695587,58.32
86,144,Bahamas,2011,26.58386605783864,12.989999999999998
87,145,Bahamas,2012,25.89769277474193,11.84
88,146,Bahamas,2013,25.652511415525087,13.91
89,156,Bahrain,1997,25.99847792998478,0.0
90,157,Bahrain,1998,27.88935056940597,0.0
91,158,Bahrain,1999,27.942155067155053,22.459999999999997
92,159,Bahrain,2000,27.00333940497873,32.73
93,160,Bahrain,2001,27.40167427701675,30.659999999999993
94,161,Bahrain,2002,27.14773776546628,27.68
95,162,Bahrain,2003,27.20913242009129,32.39
96,163,Bahrain,2004,27.09911961141469,54.21000000000001
97,164,Bahrain,2005,26.78295281582953,40.22
98,165,Bahrain,2006,27.225266362252675,27.18
99,166,Bahrain,2007,27.211996336996325,32.09
100,167,Bahrain,2008,26.940628815628788,27.89
101,168,Bahrain,2009,27.44688644688645,24.59
102,169,Bahrain,2010,28.292694063926948,11.89
103,170,Bahrain,2011,27.177777777777766,14.96
104,171,Bahrain,2012,27.60230722525805,8.68
105,172,Bahrain,2013,27.335768645357685,2.49
106,196,Barbados,1995,27.36706349206352,72.28999999999999
107,201,Barbados,2000,26.792085235920855,37.13
108,202,Barbados,2001,27.052946593001828,8.65
109,203,Barbados,2002,27.34938271604935,0.0
110,204,Barbados,2003,27.389374797538064,0.0
111,205,Barbados,2004,27.40921787709497,7.79
112,206,Barbados,2005,27.812176560121745,2.58
113,207,Barbados,2006,27.593911719939108,45.38
114,208,Barbados,2007,27.264969135802485,0.0
115,209,Barbados,2008,26.82489257213013,2.31
116,210,Barbados,2009,27.29044566544568,28.799999999999997
117,211,Barbados,2010,27.80152207001523,7.62
118,212,Barbados,2011,27.436529680365283,0.0
119,213,Barbados,2012,27.019581056466304,0.0
120,214,Barbados,2013,27.092085235920887,0.0
121,220,Belarus,1995,6.916819291819289,404.00999999999993
122,221,Belarus,1996,5.815586419753085,455.7099999999999
123,222,Belarus,1997,6.251913070094893,446.49999999999994
124,223,Belarus,1998,6.912387177093063,455.64
125,224,Belarus,1999,8.293345543345538,450.36
126,225,Belarus,2000,8.311778992106866,447.3
127,226,Belarus,2001,7.426179604261797,419.6500000000001
128,227,Belarus,2002,8.074330563250227,410.99999999999994
129,228,Belarus,2003,7.171411080501992,444.86
130,232,Belarus,2007,8.19727578818488,355.89000000000004
131,233,Belarus,2008,8.318223443223445,352.15999999999997
132,234,Belarus,2009,7.3065503520048924,375.53999999999996
133,235,Belarus,2010,7.236568986568985,331.97999999999996
134,236,Belarus,2011,8.062100456621009,299.36
135,238,Belarus,2013,7.955555555555558,273.32
136,246,Belgium,1995,10.945053272450526,285.90000000000003
137,247,Belgium,1996,8.99544626593807,267.54
138,248,Belgium,1997,10.629223744292242,284.73999999999995
139,249,Belgium,1998,10.721298861188057,264.73999999999995
140,250,Belgium,1999,11.181013431013437,230.70000000000002
141,251,Belgium,2000,11.286126290224654,267.8
142,252,Belgium,2001,10.881887366818875,261.22
143,253,Belgium,2002,11.296398891966765,247.85999999999999
144,254,Belgium,2003,11.2910197869102,248.72999999999996
145,255,Belgium,2004,10.905434122647236,231.06000000000003
146,256,Belgium,2005,11.189041095890405,231.75000000000003
147,257,Belgium,2006,11.142161339421609,214.89999999999998
148,258,Belgium,2007,11.191697191697186,208.56999999999996
149,259,Belgium,2008,10.594414086217363,221.54000000000002
150,260,Belgium,2009,10.700702075702084,218.35000000000002
151,261,Belgium,2010,9.3531202435312,220.18
152,262,Belgium,2011,11.37534246575342,226.70999999999998
153,263,Belgium,2012,10.420765027322412,217.13
154,264,Belgium,2013,9.91963470319635,201.55000000000004
155,272,Belize,1995,25.647817460317462,143.96999999999997
156,273,Belize,1996,26.828158295281572,61.290000000000006
157,274,Belize,1997,27.69935543278084,5.77
158,275,Belize,1998,27.754656390494546,81.77999999999999
159,276,Belize,1999,26.842154131847728,83.71999999999998
160,277,Belize,2000,26.899543378995443,160.80000000000004
161,278,Belize,2001,27.19642857142858,151.7
162,279,Belize,2002,27.42453703703702,69.62
163,280,Belize,2003,27.4712219144352,59.00000000000001
164,281,Belize,2004,27.42446941323347,117.38
165,282,Belize,2005,27.604779993668906,46.1
166,283,Belize,2006,27.294871794871806,37.92000000000001
167,284,Belize,2007,27.647757697456502,78.49
168,285,Belize,2008,27.34833971902938,86.36000000000001
169,286,Belize,2009,27.551067780872774,57.76
170,287,Belize,2010,27.17882425361649,61.47999999999999
171,288,Belize,2011,27.462404870624066,153.3
172,289,Belize,2012,27.2768670309654,73.44999999999999
173,290,Belize,2013,27.089649923896488,56.400000000000006
174,366,Brazil,1995,22.12059868087268,75.23999999999998
175,367,Brazil,1996,21.85848006476425,73.33
176,368,Brazil,1997,21.974948709642625,76.80000000000001
177,369,Brazil,1998,22.612999198993037,75.05
178,370,Brazil,1999,21.88014119091463,67.64999999999999
179,371,Brazil,2000,22.316996448503307,68.22999999999999
180,372,Brazil,2001,22.684574684574645,73.49000000000001
181,373,Brazil,2002,22.79596899224805,69.77
182,374,Brazil,2003,22.13212937455359,68.07000000000001
183,375,Brazil,2004,21.94196518923293,70.22
184,376,Brazil,2005,21.92800608828005,73.60000000000001
185,377,Brazil,2006,21.63916793505832,69.89999999999999
186,378,Brazil,2007,21.80774318274319,71.67999999999999
187,379,Brazil,2008,21.31124375063768,72.21000000000001
188,380,Brazil,2009,21.92689255189253,70.37
189,381,Brazil,2010,22.4441400304414,72.73
190,382,Brazil,2011,21.744444444444426,72.41000000000001
191,383,Brazil,2012,22.319267354786497,74.45000000000002
192,384,Brazil,2013,22.260933536276024,73.41000000000001
193,392,Bulgaria,1995,9.683409436834099,277.85
194,393,Bulgaria,1997,9.322222222222221,276.36
195,394,Bulgaria,1998,10.409510618651888,304.61
196,395,Bulgaria,1999,10.561355311355305,250.70999999999998
197,396,Bulgaria,2000,10.959775349119617,259.22
198,397,Bulgaria,2001,10.40228310502282,244.62
199,398,Bulgaria,2002,10.241151123422586,247.35
200,399,Bulgaria,2003,10.09558599695586,207.65
201,400,Bulgaria,2004,10.299787492410443,184.11999999999998
202,401,Bulgaria,2005,9.522070015220699,178.06
203,402,Bulgaria,2006,10.232267884322681,186.53
204,403,Bulgaria,2007,11.968864468864474,173.77
205,404,Bulgaria,2008,11.886453576864525,170.34
206,405,Bulgaria,2009,11.474969474969484,154.42
207,406,Bulgaria,2010,11.589497716894975,158.25000000000006
208,407,Bulgaria,2011,10.808675799086751,133.51999999999998
209,408,Bulgaria,2012,11.779751062537956,164.17
